Belanja Pegawai (Rupiah),Penduduk (Jiwa),Luas Daratan (km2),Luas Lautan (km2),Luas Wilayah (km2),IKK,IPM,PDRB/Capita (Rupiah),PAD (Rupiah),DBH Pajak (Rupiah),DBH SDA (Rupiah),Alokasi DAU (Rupiah),Nama Daerah
"564.264.066.746,00","1.113.976,00","5.325,03","1.157,45","6.482,48","80,49","67,88","20.406.984,21","94.924.247.670,30","56.346.667.789,00","7.094.337.638,00","1.069.168.109.000,00",Kab. Lampung Timur
"375.442.681.303,00","640.588,00","3.020,64","1.455,88","4.476,52","97,47","64,41","16.667.104,21","23.712.889.208,06","34.404.603.202,00","18.058.366.637,00","778.605.786.000,00",Kab. Tanggamus
"248.071.744.979,00","419.427,00","3.466,32","493,22","3.959,54","92,85","66,74","33.271.021,36","26.416.719.389,70","28.950.878.804,00","5.818.128.738,00","612.112.587.000,00",Kab. Tulang Bawang
"308.631.282.445,00","479.256,00","3.921,63","0,00","3.921,63","94,34","65,74","16.928.444,18","44.346.945.471,84","22.910.041.676,00","5.648.945.620,00","655.518.878.000,00",Kab. Way Kanan
"592.187.926.182,00","1.175.397,00","296,00","73,76","369,76","80,53","75,34","28.960.074,12","483.379.398.034,84","53.340.013.333,00","5.324.787.488,00","1.034.730.849.000,00",Kota Bandar Lampung
"231.708.949.096,00","165.368,00","61,79","0,00","61,79","83,93","75,45","25.282.593,56","114.436.719.785,89","19.200.798.291,00","5.324.787.488,00","455.732.157.000,00",Kota Metro
"297.846.995.702,00","546.160,00","2.243,51","614,69","2.858,20","87,54","63,47","19.911.396,18","41.956.848.582,55","17.332.041.400,00","5.485.395.135,00","669.276.831.000,00",Kab. Pesawaran
"313.736.763.338,00","421.180,00","625,00","0,00","625,00","84,80","68,26","17.979.550,90","68.157.777.765,56","14.029.791.695,00","5.401.620.329,00","621.967.450.000,00",Kab. Pringsewu
"125.278.860.256,00","315.813,00","2.184,00","0,00","2.184,00","99,42","60,72","19.707.427,71","27.783.046.526,60","16.257.036.351,00","7.070.200.191,00","446.272.067.000,00",Kab. Mesuji
"170.477.502.444,00","268.119,00","1.201,00","0,00","1.201,00","92,87","63,77","24.966.403,72","20.882.974.136,63","13.704.565.044,00","5.324.787.488,00","463.478.442.000,00",Kab. Tulang Bawang Barat
"118.434.833.914,00","155.964,00","2.907,23","1.628,64","4.535,87","103,99","61,50","20.666.970,10","20.710.860.362,74","11.957.641.690,00","4.271.039.127,00","417.412.494.000,00",Kab. Pesisir Barat
"4.157.676.618.666,00","10.333.926,00","664,01","5.850,09","6.514,10","117,57","79,60","185.253.253,98","36.888.017.587.716,00","12.304.612.421.602,00","83.092.579.610,00","0,00",Provinsi DKI Jakarta
"2.506.682.631.665,00","44.039.313,00","35.377,76","15.714,80","51.092,56","96,78","70,05","21.392.969,69","17.042.895.113.672,00","1.445.813.928.139,00","282.774.005.728,00","3.023.552.986.000,00",Provinsi Jawa Barat
"1.153.205.599.802,00","3.522.724,00","1.767,96","0,00","1.767,96","99,00","70,69","12.280.489,52","856.514.244.254,37","127.890.562.496,00","117.121.616.408,00","2.060.202.697.000,00",Kab. Bandung
"723.351.984.455,00","2.554.376,00","1.224,88","291,02","1.515,90","98,66","71,83","22.431.724,01","1.917.814.673.704,00","388.094.456.950,00","37.136.798.561,00","1.152.893.281.000,00",Kab. Bekasi
"1.101.628.126.279,00","4.246.307,00","2.710,62","0,00","2.710,62","108,78","68,32","18.977.935,77","2.292.175.674.800,97","184.466.455.522,00","81.394.696.983,00","1.919.023.527.000,00",Kab. Bogor
"707.086.930.816,00","1.228.294,00","1.414,71","0,00","1.414,71","90,13","68,45","18.613.793,35","204.759.434.819,60","51.623.476.385,00","20.056.932.383,00","1.183.061.992.000,00",Kab. Ciamis
"823.838.738.577,00","2.246.663,00","3.840,16","510,13","4.350,29","90,80","62,92","14.959.436,62","455.156.876.756,00","58.070.526.432,00","22.971.618.792,00","1.548.376.287.000,00",Kab. Cianjur
"868.202.381.223,00","2.099.089,00","984,52","441,65","1.426,17","100,83","66,70","14.592.211,81","529.050.285.479,02","74.997.242.946,00","21.976.129.471,00","1.500.538.688.000,00",Kab. Cirebon
"1.051.237.166.276,00","2.210.017,00","3.074,07","517,66","3.591,73","93,12","63,64","18.421.078,22","385.312.223.031,89","81.390.971.374,00","86.267.285.437,00","1.776.936.655.000,00",Kab. Garut
"771.298.390.668,00","1.845.205,00","2.040,11","778,29","2.818,40","103,07","64,78","17.907.565,84","351.177.413.767,00","163.703.292.161,00","51.289.067.671,00","1.371.769.951.000,00",Kab. Indramayu
"750.203.640.511,00","2.110.476,00","1.652,20","564,92","2.217,12","96,84","68,19","23.998.421,56","1.003.391.893.371,00","277.790.543.183,00","53.035.341.294,00","1.245.521.327.000,00",Kab. Karawang
"752.750.698.804,00","1.132.610,00","1.110,56","0,00","1.110,56","97,82","67,51","15.991.048,27","253.441.689.733,00","53.881.819.877,00","21.841.722.668,00","1.197.194.996.000,00",Kab. Kuningan
"735.031.780.522,00","1.266.981,00","1.204,24","0,00","1.204,24","97,07","65,25","15.502.301,88","331.527.582.021,00","70.313.221.222,00","23.022.713.284,00","1.204.397.174.000,00",Kab. Majalengka
"486.735.381.591,00","912.708,00","825,74","0,00","825,74","103,62","68,56","25.481.516,52","341.116.103.330,00","76.979.107.008,00","22.088.740.285,00","854.419.670.000,00",Kab. Purwakarta
"763.856.835.735,00","1.552.925,00","1.893,95","505,43","2.399,38","95,17","67,14","15.743.429,52","360.621.618.141,00","137.861.092.473,00","66.530.682.242,00","1.282.683.362.000,00",Kab. Subang
"809.614.928.694,00","2.523.992,00","4.145,70","881,04","5.026,74","94,58","65,13","15.950.472,60","548.936.312.987,00","79.193.999.052,00","65.773.190.201,00","1.580.414.660.000,00",Kab. Sukabumi
"719.551.285.274,00","1.135.818,00","1.518,33","0,00","1.518,33","93,10","69,45","19.622.556,56","345.804.641.953,39","63.278.272.880,00","22.084.882.700,00","1.125.798.410.000,00",Kab. Sumedang
"843.049.112.615,00","1.713.677,00","2.551,19","341,44","2.892,63","99,41","63,57","15.438.962,62","216.227.321.380,00","50.583.986.117,00","23.017.621.249,00","1.451.247.063.000,00",Kab. Tasikmalaya
"1.047.196.894.620,00","2.404.589,00","167,67","0,00","167,67","103,05","80,13","73.019.422,52","2.152.755.704.962,00","291.655.346.101,00","21.975.948.271,00","1.643.076.905.000,00",Kota Bandung
"680.819.169.596,00","2.409.083,00","206,61","0,00","206,61","102,59","79,95","21.003.800,46","1.607.389.410.491,40","123.702.220.873,00","21.975.948.271,00","1.212.033.531.000,00",Kota Bekasi
"441.631.321.328,00","1.005.012,00","118,50","0,00","118,50","95,39","74,50","29.304.935,62","783.873.587.219,00","72.828.260.163,00","21.975.948.271,00","791.929.143.000,00",Kota Bogor
"309.998.448.096,00","325.767,00","37,36","34,96","72,32","90,80","73,70","50.775.548,69","363.117.732.284,00","51.793.850.794,00","21.975.948.271,00","577.778.746.000,00",Kota Cirebon
"417.316.370.966,00","1.809.120,00","200,29","0,00","200,29","108,90","79,60","22.019.172,41","922.297.784.280,15","82.876.361.872,00","21.975.948.271,00","860.675.991.000,00",Kota Depok
"249.772.593.722,00","334.033,00","48,25","0,00","48,25","91,20","72,33","28.398.282,21","295.257.670.781,00","38.505.737.540,00","21.975.948.271,00","495.865.420.000,00",Kota Sukabumi
"455.442.141.062,00","692.567,00","171,61","0,00","171,61","95,44","70,58","21.004.111,19","254.532.699.375,69","46.132.100.078,00","22.035.430.771,00","780.073.445.000,00",Kota Tasikmalaya
"278.536.049.508,00","532.988,00","39,27","0,00","39,27","99,93","76,69","25.093.125,44","286.049.615.484,34","44.086.831.787,00","21.975.948.271,00","576.278.051.000,00",Kota Cimahi
"158.784.852.479,00","201.191,00","113,49","0,00","113,49","88,04","70,09","16.224.365,86","116.321.781.013,00","37.594.215.014,00","22.084.536.871,00","368.153.289.000,00",Kota Banjar
"553.611.507.008,00","1.616.203,00","1.305,77","0,00","1.305,77","90,48","65,81","13.805.210,49","376.220.675.006,00","55.775.880.152,00","22.086.594.142,00","1.091.118.868.000,00",Kab. Bandung Barat
