Belanja Pegawai (Rupiah),Penduduk (Jiwa),Luas Daratan (km2),Luas Lautan (km2),Luas Wilayah (km2),IKK,IPM,PDRB/Capita (Rupiah),PAD (Rupiah),DBH Pajak (Rupiah),DBH SDA (Rupiah),Alokasi DAU (Rupiah),Nama Daerah
"263.514.627.744,00","221.557,00","892,70","0,00","892,70","108,22","63,38","15.786.162,32","95.440.232.946,53","22.056.403.313,00","138.708.997.987,00","485.062.285.000,00",Kab. Hulu Sungai Utara
"258.342.379.897,00","318.853,00","9.482,73","5.460,35","14.943,08","101,70","67,10","28.196.222,19","140.286.228.727,58","117.488.946.437,00","222.837.461.243,00","612.929.409.000,00",Kab. Kotabaru                                     
"276.736.574.571,00","238.000,00","3.766,97","0,00","3.766,97","102,03","70,07","28.249.425,71","144.964.679.795,20","73.561.503.804,00","451.008.577.367,00","494.109.854.000,00",Kab. Tabalong
"306.794.561.341,00","344.730,00","3.631,35","1.283,14","4.914,49","95,03","67,44","21.077.613,49","148.684.016.493,24","35.984.576.290,00","330.019.498.423,00","528.690.162.000,00",Kab. Tanah Laut
"246.041.370.317,00","178.841,00","2.700,82","0,00","2.700,82","97,65","68,05","25.526.828,92","57.163.594.657,60","28.646.812.201,00","190.754.292.152,00","448.697.311.000,00",Kab. Tapin
"226.827.956.174,00","221.735,00","371,00","0,00","371,00","105,59","77,96","29.050.508,54","169.179.425.869,69","21.019.760.942,00","140.130.626.937,00","428.542.067.000,00",Kota Banjarbaru                                   
"361.234.124.165,00","647.003,00","72,00","0,00","72,00","106,41","75,94","32.446.536,21","247.258.423.246,06","59.892.703.082,00","138.708.997.987,00","696.828.787.000,00",Kota Banjarmasin
"179.204.883.447,00","125.288,00","1.878,30","0,00","1.878,30","106,09","66,25","27.393.186,49","61.498.585.082,42","32.659.084.777,00","538.676.544.855,00","382.593.322.000,00",Kab. Balangan
"235.603.941.327,00","310.309,00","5.006,96","636,62","5.643,58","97,26","68,28","29.009.743,34","116.237.662.906,95","84.973.743.533,00","416.477.594.836,00","457.712.799.000,00",Kab. Tanah Bumbu
"680.462.650.892,00","3.470.883,00","129.066,64","30.679,11","159.745,75","109,21","74,59","53.776.794,23","4.029.364.843.886,12","690.750.462.589,00","2.146.359.270.969,00","767.682.423.000,00",Provinsi Kalimantan Timur
"286.736.174.523,00","219.263,00","21.240,00","5.205,84","26.445,84","104,20","73,05","52.288.069,79","208.260.995.212,02","78.913.381.687,00","720.022.965.645,00","561.401.129.000,00",Kab. Berau
